"C:\Program Files\Java\jdk1.8.0_151\bin\java.exe" "-javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2018.3.2\lib\idea_rt.jar=57815:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2018.3.2\bin" -Dfile.encoding=UTF-8 -classpath "C:\Program Files\Java\jdk1.8.0_151\jre\lib\charsets.jar;C:\Program Files\Java\jdk1.8.0_151\jre\lib\deploy.jar;C:\Program Files\Java\jdk1.8.0_151\jre\lib\ext\access-bridge-64.jar;C:\Program Files\Java\jdk1.8.0_151\jre\lib\ext\cldrdata.jar;C:\Program Files\Java\jdk1.8.0_151\jre\lib\ext\dnsns.jar;C:\Program Files\Java\jdk1.8.0_151\jre\lib\ext\jaccess.jar;C:\Program Files\Java\jdk1.8.0_151\jre\lib\ext\jfxrt.jar;C:\Program Files\Java\jdk1.8.0_151\jre\lib\ext\localedata.jar;C:\Program Files\Java\jdk1.8.0_151\jre\lib\ext\nashorn.jar;C:\Program Files\Java\jdk1.8.0_151\jre\lib\ext\sunec.jar;C:\Program Files\Java\jdk1.8.0_151\jre\lib\ext\sunjce_provider.jar;C:\Program Files\Java\jdk1.8.0_151\jre\lib\ext\sunmscapi.jar;C:\Program Files\Java\jdk1.8.0_151\jre\lib\ext\sunpkcs11.jar;C:\Program Files\Java\jdk1.8.0_151\jre\lib\ext\zipfs.jar;C:\Program Files\Java\jdk1.8.0_151\jre\lib\javaws.jar;C:\Program Files\Java\jdk1.8.0_151\jre\lib\jce.jar;C:\Program Files\Java\jdk1.8.0_151\jre\lib\jfr.jar;C:\Program Files\Java\jdk1.8.0_151\jre\lib\jfxswt.jar;C:\Program Files\Java\jdk1.8.0_151\jre\lib\jsse.jar;C:\Program Files\Java\jdk1.8.0_151\jre\lib\management-agent.jar;C:\Program Files\Java\jdk1.8.0_151\jre\lib\plugin.jar;C:\Program Files\Java\jdk1.8.0_151\jre\lib\resources.jar;C:\Program Files\Java\jdk1.8.0_151\jre\lib\rt.jar;C:\marist\550\JavaAITutorial\out\production\JavaAITutorial;C:\marist\550\JavaAITutorial\EncogCore.jar;C:\marist\550\JavaAITutorial\commons-math3-3.0.jar" javaai.ann.learn.meta.genetic.Parabola
----- before
  1 | 1 1 0 1 1 0 1 | 109
  2 | 0 1 1 0 0 0 1 | 49
  3 | 1 1 1 0 1 0 0 | 116
  4 | 0 0 0 0 1 0 0 | 4
  5 | 1 0 1 1 0 0 1 | 89
  6 | 0 0 0 1 1 1 1 | 15
  7 | 0 1 1 1 1 1 1 | 63
  8 | 0 1 0 1 1 1 1 | 47
  9 | 0 1 0 0 1 0 1 | 37
 10 | 1 1 0 0 0 0 0 | 96
 11 | 0 1 0 1 0 1 0 | 42
 12 | 1 1 1 1 1 1 1 | 127
 13 | 1 0 0 0 0 0 1 | 65
 14 | 0 0 0 1 0 1 1 | 11
 15 | 1 1 0 0 1 0 1 | 101
 16 | 1 0 1 0 1 1 0 | 86
 17 | 1 1 1 0 1 0 0 | 116
 18 | 0 1 0 1 1 1 0 | 46
 19 | 1 1 0 0 0 0 1 | 97
 20 | 0 1 1 1 1 1 1 | 63
 21 | 0 0 0 1 0 0 0 | 8
 22 | 0 0 0 1 0 1 0 | 10
 23 | 1 1 1 1 0 0 0 | 120
 24 | 1 1 1 0 0 0 0 | 112
 25 | 0 1 0 1 1 1 0 | 46
 26 | 1 0 1 1 0 1 0 | 90
 27 | 0 1 1 1 1 1 1 | 63
 28 | 0 0 1 1 0 0 0 | 24
 29 | 1 0 1 0 0 0 0 | 80
 30 | 1 1 0 0 0 0 1 | 97
 31 | 1 1 1 1 1 0 0 | 124
 32 | 1 0 0 1 0 0 1 | 73
 33 | 0 1 0 0 1 1 0 | 38
 34 | 0 0 0 1 0 0 1 | 9
 35 | 0 0 1 0 1 1 1 | 23
 36 | 1 1 0 1 0 0 1 | 105
 37 | 1 1 1 0 1 0 0 | 116
 38 | 1 1 1 1 0 1 1 | 123
 39 | 1 0 1 0 0 1 1 | 83
 40 | 0 0 0 0 1 1 0 | 6
 41 | 1 1 0 1 1 0 0 | 108
 42 | 1 0 0 1 1 0 1 | 77
 43 | 1 0 1 0 1 0 0 | 84
 44 | 1 0 1 0 0 1 0 | 82
 45 | 0 0 0 0 0 0 0 | 0
 46 | 0 1 0 0 1 0 1 | 37
 47 | 1 1 1 1 0 1 1 | 123
 48 | 1 0 0 0 1 1 1 | 71
 49 | 0 1 1 0 1 0 1 | 53
